datetime,pBuy,pSell
2024.12.11 15:30,0.87,0.0
2024.12.11 15:45,0.82,0.0
2024.12.12 08:15,0.77,0.0
2024.12.12 08:30,0.82,0.0
2024.12.12 08:45,0.77,0.0
2024.12.12 09:00,0.8104,0.0
2024.12.12 09:15,0.7604,0.0
2024.12.12 09:30,0.0,0.7871
2024.12.12 09:45,0.0,0.7371
2024.12.12 13:15,0.8071,0.0
2024.12.12 13:30,0.8571,0.0
2024.12.12 13:45,0.8071,0.0
2024.12.12 15:45,0.0,0.71
2024.12.12 16:00,0.0,0.76
2024.12.12 16:15,0.0,0.71
2024.12.13 08:30,0.76,0.0
2024.12.13 08:45,0.81,0.0
2024.12.13 09:00,0.76,0.0
2024.12.13 09:15,0.0,0.8011
2024.12.13 09:30,0.0,0.7511
2024.12.16 08:00,0.7367,0.0
2024.12.16 08:15,0.7867,0.0
2024.12.16 08:30,0.7367,0.0
2024.12.16 14:15,0.0,0.7978
2024.12.16 14:30,0.0,0.8478
2024.12.16 14:45,0.0,0.7978
2024.12.17 08:00,0.0,0.7659
2024.12.17 08:15,0.0,0.8159
2024.12.17 08:30,0.0,0.7659
2024.12.17 08:45,0.7391,0.0
2024.12.17 09:00,0.7891,0.0
2024.12.17 09:15,0.81,0.0
2024.12.17 09:30,0.76,0.0
2024.12.17 09:45,0.0,0.8457
2024.12.17 10:00,0.0,0.7957
2024.12.18 14:00,0.7369,0.0
2024.12.18 14:15,0.7869,0.0
2024.12.18 14:30,0.7369,0.0
2024.12.18 15:00,0.76,0.0
2024.12.18 15:15,0.81,0.0
2024.12.18 15:30,0.76,0.0
2024.12.18 16:00,0.0,0.77
2024.12.18 16:15,0.0,0.82
2024.12.18 16:30,0.0,0.77
2024.12.19 08:15,0.7557,0.0
2024.12.19 08:30,0.8057,0.0
2024.12.19 08:45,0.7557,0.0
2024.12.19 14:30,0.0,0.77
2024.12.19 14:45,0.0,0.82
2024.12.19 15:00,0.0,0.77
2024.12.20 08:15,0.7081,0.0
2024.12.20 08:30,0.7581,0.0
2024.12.20 08:45,0.7081,0.0
2024.12.20 13:30,0.743,0.0
2024.12.20 13:45,0.793,0.0
2024.12.20 14:00,0.743,0.0
2024.12.20 22:30,0.0,0.6951
2024.12.20 22:45,0.0,0.7451
2024.12.20 23:00,0.0,0.6951
2024.12.23 11:45,0.0,0.6962
2024.12.23 12:00,0.0,0.7462
2024.12.23 12:15,0.0,0.6962
2024.12.24 11:00,0.0,0.7013
